Verb,Translation,Presente (Spanish),Presente (English),Pretérito (Spanish),Pretérito (English),Futuro (Spanish),Futuro (English)
Aceptar,to accept,"acepto,aceptas,acepta,aceptamos,aceptáis,aceptan","I accept,You (informal) accept,He/She accepts,We accept,You all (informal) accept,They/You all accept","acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron","I accepted,You (informal) accepted,He/She accepted,We accepted,You all (informal) accepted,They/You all accepted","aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán","I will accept,You (informal) will accept,He/She will accept,We will accept,You all (informal) will accept,They/You all will accept"
Ahorrar,to save money,"ahorro,ahorras,ahorra,ahorramos,ahorráis,ahorran","I save,You (informal) save,He/She saves,We save,You all (informal) save,They/You all save","ahorré,ahorraste,ahorró,ahorramos,ahorrasteis,ahorraron","I saved,You (informal) saved,He/She saved,We saved,You all (informal) saved,They/You all saved","ahorraré,ahorrarás,ahorrará,ahorraremos,ahorraréis,ahorrarán","I will save,You (informal) will save,He/She will save,We will save,You all (informal) will save,They/You all will save"
Amar,to love,"amo,amas,ama,amamos,amáis,aman","I love,You (informal) love,He/She loves,We love,You all (informal) love,They/You all love","amé,amaste,amó,amamos,amasteis,amaron","I loved,You (informal) loved,He/She loved,We loved,You all (informal) loved,They/You all loved","amaré,amarás,amará,amaremos,amaréis,amarán","I will love,You (informal) will love,He/She will love,We will love,You all (informal) will love,They/You all will love"
Apagar,to turn off,"apago,apagas,apaga,apagamos,apagáis,apagan","I turn off,You (informal) turn off,He/She turns off,We turn off,You all (informal) turn off,They/You all turn off","apagué,apagaste,apagó,apagamos,apagasteis,apagaron","I turned off,You (informal) turned off,He/She turned off,We turned off,You all (informal) turned off,They/You all turned off","apagaré,apagarás,apagará,apagaremos,apagaréis,apagarán","I will turn off,You (informal) will turn off,He/She will turn off,We will turn off,You all (informal) will turn off,They/You all will turn off"
Arreglar,to fix,"arreglo,arreglas,arregla,arreglamos,arregláis,arreglan","I fix,You (informal) fix,He/She fixes,We fix,You all (informal) fix,They/You all fix","arreglé,arreglaste,arregló,arreglamos,arreglasteis,arreglaron","I fixed,You (informal) fixed,He/She fixed,We fixed,You all (informal) fixed,They/You all fixed","arreglaré,arreglarás,arreglará,arreglaremos,arreglaréis,arreglarán","I will fix,You (informal) will fix,He/She will fix,We will fix,You all (informal) will fix,They/You all will fix"
Ayudar,to help,"ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan","I help,You (informal) help,He/She helps,We help,You all (informal) help,They/You all help","ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron","I helped,You (informal) helped,He/She helped,We helped,You all (informal) helped,They/You all helped","ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán","I will help,You (informal) will help,He/She will help,We will help,You all (informal) will help,They/You all will help"
Bailar,to dance,"bailo,bailas,baila,bailamos,bailáis,bailan","I dance,You (informal) dance,He/She dances,We dance,You all (informal) dance,They/You all dance","bailé,bailaste,bailó,bailamos,bailasteis,bailaron","I danced,You (informal) danced,He/She danced,We danced,You all (informal) danced,They/You all danced","bailaré,bailarás,bailará,bailaremos,bailaréis,bailarán","I will dance,You (informal) will dance,He/She will dance,We will dance,You all (informal) will dance,They/You all will dance"
Bajar,to go down,"bajo,bajas,baja,bajamos,bajáis,bajan","I go down,You (informal) go down,He/She goes down,We go down,You all (informal) go down,They/You all go down","bajé,bajaste,bajó,bajamos,bajasteis,bajaron","I went down,You (informal) went down,He/She went down,We went down,You all (informal) went down,They/You all went down","bajaré,bajarás,bajará,bajaremos,bajaréis,bajarán","I will go down,You (informal) will go down,He/She will go down,We will go down,You all (informal) will go down,They/You all will go down"
Besar,to kiss,"beso,besas,besa,besamos,besáis,besan","I kiss,You (informal) kiss,He/She kisses,We kiss,You all (informal) kiss,They/You all kiss","besé,besaste,besó,besamos,besasteis,besaron","I kissed,You (informal) kissed,He/She kissed,We kissed,You all (informal) kissed,They/You all kissed","besaré,besarás,besará,besaremos,besaréis,besarán","I will kiss,You (informal) will kiss,He/She will kiss,We will kiss,You all (informal) will kiss,They/You all will kiss"
Buscar,to look for,"busco,buscas,busca,buscamos,buscáis,buscan","I look for,You (informal) look for,He/She looks for,We look for,You all (informal) look for,They/You all look for","busqué,buscaste,buscó,buscamos,buscasteis,buscaron","I looked for,You (informal) looked for,He/She looked for,We looked for,You all (informal) looked for,They/You all looked for","buscaré,buscarás,buscará,buscaremos,buscaréis,buscarán","I will look for,You (informal) will look for,He/She will look for,We will look for,You all (informal) will look for,They/You all will look for"
Cambiar,to change,"cambio,cambias,cambia,cambiamos,cambiáis,cambian","I change,You (informal) change,He/She changes,We change,You all (informal) change,They/You all change","cambié,cambiaste,cambió,cambiamos,cambiasteis,cambiaron","I changed,You (informal) changed,He/She changed,We changed,You all (informal) changed,They/You all changed","cambiaré,cambiarás,cambiará,cambiaremos,cambiaréis,cambiarán","I will change,You (informal) will change,He/She will change,We will change,You all (informal) will change,They/You all will change"
Caminar,to walk,"camino,caminas,camina,caminamos,camináis,caminan","I walk,You (informal) walk,He/She walks,We walk,You all (informal) walk,They/You all walk","caminé,caminaste,caminó,caminamos,caminasteis,caminaron","I walked,You (informal) walked,He/She walked,We walked,You all (informal) walked,They/You all walked","caminaré,caminarás,caminará,caminaremos,caminaréis,caminarán","I will walk,You (informal) will walk,He/She will walk,We will walk,You all (informal) will walk,They/You all will walk"
Cantar,to sing,"canto,cantas,canta,cantamos,cantáis,cantan","I sing,You (informal) sing,He/She sings,We sing,You all (informal) sing,They/You all sing","canté,cantaste,cantó,cantamos,cantasteis,cantaron","I sang,You (informal) sang,He/She sang,We sang,You all (informal) sang,They/You all sang","cantaré,cantarás,cantará,cantaremos,cantaréis,cantarán","I will sing,You (informal) will sing,He/She will sing,We will sing,You all (informal) will sing,They/You all will sing"
Cargar,to charge,"cargo,cargas,carga,cargamos,cargáis,cargan","I charge,You (informal) charge,He/She charges,We charge,You all (informal) charge,They/You all charge","cargué,cargaste,cargó,cargamos,cargasteis,cargaron","I charged,You (informal) charged,He/She charged,We charged,You all (informal) charged,They/You all charged","cargaré,cargarás,cargará,cargaremos,cargaréis,cargarán","I will charge,You (informal) will charge,He/She will charge,We will charge,You all (informal) will charge,They/You all will charge"
Cocinar,to cook,"cocino,cocinas,cocina,cocinamos,cocináis,cocinan","I cook,You (informal) cook,He/She cooks,We cook,You all (informal) cook,They/You all cook","cociné,cocinaste,cocinó,cocinamos,cocinasteis,cocinaron","I cooked,You (informal) cooked,He/She cooked,We cooked,You all (informal) cooked,They/You all cooked","cocinaré,cocinarás,cocinará,cocinaremos,cocinaréis,cocinarán","I will cook,You (informal) will cook,He/She will cook,We will cook,You all (informal) will cook,They/You all will cook"
Comprar,to buy,"compro,compras,compra,compramos,compráis,compran","I buy,You (informal) buy,He/She buys,We buy,You all (informal) buy,They/You all buy","compré,compraste,compró,compramos,comprasteis,compraron","I bought,You (informal) bought,He/She bought,We bought,You all (informal) bought,They/You all bought","compraré,comprarás,comprará,compraremos,compraréis,comprarán","I will buy,You (informal) will buy,He/She will buy,We will buy,You all (informal) will buy,They/You all will buy"
Contestar,to answer,"contesto,contestas,contesta,contestamos,contestáis,contestan","I answer,You (informal) answer,He/She answers,We answer,You all (informal) answer,They/You all answer","contesté,contestaste,contestó,contestamos,contestasteis,contestaron","I answered,You (informal) answered,He/She answered,We answered,You all (informal) answered,They/You all answered","contestaré,contestarás,contestará,contestaremos,contestaréis,contestarán","I will answer,You (informal) will answer,He/She will answer,We will answer,You all (informal) will answer,They/You all will answer"
Cortar,to cut,"corto,cortas,corta,cortamos,cortáis,cortan","I cut,You (informal) cut,He/She cuts,We cut,You all (informal) cut,They/You all cut","corté,cortaste,cortó,cortamos,cortasteis,cortaron","I cut (past),You (informal) cut,He/She cut,We cut,You all (informal) cut,They/You all cut","cortaré,cortarás,cortará,cortaremos,cortaréis,cortarán","I will cut,You (informal) will cut,He/She will cut,We will cut,You all (informal) will cut,They/You all will cut"
Descansar,to rest,"descanso,descansas,descansa,descansamos,descansáis,descansan","I rest,You (informal) rest,He/She rests,We rest,You all (informal) rest,They/You all rest","descansé,descansaste,descansó,descansamos,descansasteis,descansaron","I rested,You (informal) rested,He/She rested,We rested,You all (informal) rested,They/You all rested","descansaré,descansarás,descansará,descansaremos,descansaréis,descansarán","I will rest,You (informal) will rest,He/She will rest,We will rest,You all (informal) will rest,They/You all will rest"
Dibujar,to draw,"dibujo,dibujas,dibuja,dibujamos,dibujáis,dibujan","I draw,You (informal) draw,He/She draws,We draw,You all (informal) draw,They/You all draw","dibujé,dibujaste,dibujó,dibujamos,dibujasteis,dibujaron","I drew,You (informal) drew,He/She drew,We drew,You all (informal) drew,They/You all drew","dibujaré,dibujarás,dibujará,dibujaremos,dibujaréis,dibujarán","I will draw,You (informal) will draw,He/She will draw,We will draw,You all (informal) will draw,They/You all will draw"
